timestamp,can_id,data
0.00,0x1A4,9D 79 00 00 7F 31 80 1C
0.00,0x245,D1 1A 67 06 FB 00 D6 BD
0.00,0x316,20 03 68 46 90 3B B1 3E
0.00,0x083,00 00 24 39 E9 C1 B8 23
0.00,0x427,A9 60 89 BC A7 1F 3D 1A
0.00,0x6B2,6D 2D 3C AD B3 66 9C BD
0.01,0x1A4,50 E1 00 00 34 24 9D 8B
0.01,0x245,82 9B 41 16 69 00 2A 97
0.01,0x316,20 03 03 6C F3 E8 22 08
0.01,0x083,01 00 A0 07 5A 69 FC 17
0.01,0x427,8B A8 F8 37 18 AA 8F 3B
0.01,0x6B2,D1 F6 5E 81 44 E6 1D 9A
0.02,0x1A4,B3 0F 00 00 A6 C1 AD 8F
0.02,0x245,29 02 E7 32 B1 00 4D B7
0.02,0x316,20 03 5E A6 8C 08 8A B3
0.02,0x083,02 00 81 8B A4 A6 65 6B
0.02,0x427,E0 CB 6E 38 2A 5D FF 72
0.02,0x6B2,AC 1D DA 96 90 81 37 47
0.03,0x1A4,8B D5 00 00 4B 77 8A DE
0.03,0x245,1F E3 A9 01 0B 00 41 C2
0.03,0x316,20 03 4A CE C4 6E DF 28
0.03,0x083,03 00 B9 B2 11 75 30 6C
0.03,0x427,76 A8 1A 57 89 93 22 47
0.03,0x6B2,30 81 CD 27 7B CD 1E 37
0.04,0x1A4,63 EA 00 00 EE 59 74 C3
0.04,0x245,79 0B 2B 56 ED 00 2A 1A
0.04,0x316,20 03 BE 17 7D EA 42 61
0.04,0x083,04 00 C2 18 8E 12 E6 5B
0.04,0x427,13 64 F5 D8 71 7B 0D 58
0.04,0x6B2,03 CA 8D 9A A6 A3 B7 43
0.05,0x1A4,7F F5 00 00 63 91 1F 0B
0.05,0x245,D0 B3 CF BA 66 00 9C 75
0.05,0x316,20 03 46 89 78 9B F4 1F
0.05,0x083,05 00 1E F9 A1 8C 1B EC
0.05,0x427,13 A1 E7 60 E8 3F 2C 14
0.05,0x6B2,F1 88 52 8D 41 BB 0D 4B
0.06,0x1A4,32 DD 00 00 AE 89 EE A0
0.06,0x245,7A 4B 57 9E 2F 00 AC E2
0.06,0x316,20 03 98 DC F0 1C 94 5C
0.06,0x083,06 00 CD 93 2C D3 39 31
0.06,0x427,F0 D1 5E B4 D2 5D CE 11
0.06,0x6B2,99 25 BB 0B 99 8D 48 A9
0.07,0x1A4,8E 8A 00 00 8A CE E7 C5
0.07,0x245,4D 50 15 4A 4C 00 37 FC
0.07,0x316,20 03 6D 14 26 1A F6 DA
0.07,0x083,07 00 98 3B B2 DF D1 DD
0.07,0x427,D0 3A DB 19 D7 F3 4F 61
0.07,0x6B2,39 47 29 47 93 B2 12 74
0.08,0x1A4,2F 37 00 00 DE 42 88 D5
0.08,0x245,41 A0 65 5D E9 00 A3 29
0.08,0x316,20 03 C4 5E 53 05 F3 5A
0.08,0x083,08 00 A2 35 A4 99 90 AB
0.08,0x427,85 A8 58 44 FE 7E AA B3
0.08,0x6B2,49 98 C8 EF D8 FA FC AE
0.09,0x1A4,AB A5 00 00 57 6F 47 12
0.09,0x245,73 02 F0 9B E3 00 8D A2
0.09,0x316,20 03 CF 2B 07 64 BD 88
0.09,0x083,09 00 A8 BA CB ED AB 3E
0.09,0x427,EF BE D4 29 72 AF 56 76
0.09,0x6B2,F7 FD 23 61 F3 4C 1B 45
0.10,0x1A4,E6 66 00 00 A2 6F E6 EC
0.10,0x245,28 02 D7 A3 C4 00 2B B0
0.10,0x316,20 03 94 8E 26 B3 38 38
0.10,0x083,0A 00 42 AF 7F 31 04 53
0.10,0x427,A5 24 C5 D7 CC 32 B0 C4
0.10,0x6B2,39 EE A7 C6 0D F3 51 0E
0.11,0x1A4,F9 E4 00 00 AB A7 61 D2
0.11,0x245,A3 B8 37 08 4E 00 17 CE
0.11,0x316,20 03 C1 50 5B BC B2 66
0.11,0x083,0B 00 8A 44 81 BC F1 10
0.11,0x427,AC F8 02 36 E0 49 C3 E9
0.11,0x6B2,E4 87 62 F1 3E B6 32 91
0.12,0x1A4,EE A0 00 00 CF 3A C9 B7
0.12,0x245,D7 BA 8E 50 6F 00 6E 36
0.12,0x316,20 03 CA A7 B1 9E CD 7F
0.12,0x083,0C 00 48 65 4D 98 7A E2
0.12,0x427,65 CA 1F EA B2 F0 91 A4
0.12,0x6B2,A9 50 77 75 83 3B 93 24
0.13,0x1A4,DE 2F 00 00 1D D0 BE 23
0.13,0x245,F8 FA 22 3F 19 00 B7 BE
0.13,0x316,20 03 B5 8F 68 6A FA 89
0.13,0x083,0D 00 43 43 06 4C 3C BF
0.13,0x427,79 6D A7 95 C7 D6 AD 6D
0.13,0x6B2,75 B8 D7 E5 F0 69 62 95
0.14,0x1A4,97 1C 00 00 97 CC AB 5C
0.14,0x245,B8 63 25 38 E4 00 50 FF
0.14,0x316,20 03 5E FF 84 B5 69 23
0.14,0x083,0E 00 70 82 DF 0D 57 7E
0.14,0x427,D8 D6 45 17 8A F0 7A C1
0.14,0x6B2,95 D1 0F 0C 96 3D 71 DC
0.15,0x1A4,35 F7 00 00 DF 9B 20 27
0.15,0x245,C4 49 A0 A0 81 00 F4 28
0.15,0x316,20 03 C5 CA 54 04 34 AE
0.15,0x083,0F 00 12 6C 34 43 AE 98
0.15,0x427,10 5A 43 10 45 1C 80 62
0.15,0x6B2,22 CD B1 61 C9 24 8C 98
0.16,0x1A4,99 CF 00 00 02 1E D2 77
0.16,0x245,A9 09 74 87 EC 00 5C 40
0.16,0x316,20 03 98 F8 5B 36 A0 8D
0.16,0x083,10 00 5C DC 2F 26 43 F1
0.16,0x427,90 6B F0 02 A7 0D 27 AE
0.16,0x6B2,B9 39 81 B8 4B 43 53 1D
0.17,0x1A4,17 92 00 00 FD 7E 81 E2
0.17,0x245,34 E3 76 89 10 00 39 C0
0.17,0x316,20 03 4E 44 E3 E2 C2 C4
0.17,0x083,11 00 16 A4 6F BD 15 57
0.17,0x427,E9 AE 8E 1C 08 D3 22 4B
0.17,0x6B2,9A C6 4C 6F CA 06 7D 28
0.18,0x1A4,A3 3C 00 00 59 AF D4 00
0.18,0x245,CC 43 2D F4 72 00 DB B8
0.18,0x316,20 03 37 E0 0B FE 3C B8
0.18,0x083,12 00 6D 43 8B A8 CD F8
0.18,0x427,5F 69 26 80 6E F4 0F C3
0.18,0x6B2,34 21 BC 2D 1C 6D F7 81
0.19,0x1A4,6F FA 00 00 5C BD 3D 1B
0.19,0x245,16 4A DA DE 6E 00 13 A0
0.19,0x316,20 03 66 4C 77 A4 77 D7
0.19,0x083,13 00 92 A3 D4 31 F6 81
0.19,0x427,C7 78 E5 9B 89 D6 EB 32
0.19,0x6B2,7D 79 20 27 6C D1 B8 5F
0.20,0x1A4,61 E8 00 00 15 47 5B 29
0.20,0x245,62 BA 14 8A 3F 00 18 F4
0.20,0x316,20 03 54 C7 C5 A3 24 EC
0.20,0x083,14 00 C5 87 DD 63 22 EB
0.20,0x427,D1 7A 25 00 B4 6E 54 99
0.20,0x6B2,3B E4 FB 52 85 43 15 7D
0.21,0x1A4,82 6D 00 00 FB 5C A3 1C
0.21,0x245,31 68 D9 ED B5 00 EC 5C
0.21,0x316,20 03 F3 E0 8B 05 3E FC
0.21,0x083,15 00 E8 D4 2D CB 88 CE
0.21,0x427,FF 3E B9 4E 37 BF 4C 3D
0.21,0x6B2,1A 2F D4 0E A9 C2 A9 3D
0.22,0x1A4,B8 3C 00 00 E2 4D 3E 91
0.22,0x245,76 43 6B F2 07 00 29 14
0.22,0x316,20 03 ED 15 CF 4B 5E BB
0.22,0x083,16 00 69 7C 60 E6 E6 D0
0.22,0x427,48 E9 B7 11 00 31 5D FA
0.22,0x6B2,C5 D2 B6 C2 66 6E 5F 88
0.23,0x1A4,B4 B9 00 00 50 D7 31 20
0.23,0x245,5D 43 DE 20 0C 00 E5 A8
0.23,0x316,20 03 AC 79 CC AC 64 F2
0.23,0x083,17 00 BF 8C AB C2 45 2A
